File Name,Syntax Error Count,Fatal Error Count,Warning Count
0.fuzz,3,0,0
1.fuzz,8,0,5
2.fuzz,4,0,0
3.fuzz,0,0,0
4.fuzz,0,0,0
5.fuzz,2,0,1
6.fuzz,0,0,0
7.fuzz,1,0,0
8.fuzz,2,0,0
9.fuzz,0,0,0
10.fuzz,0,0,0
11.fuzz,2,0,0
12.fuzz,0,0,0
13.fuzz,5,0,2
14.fuzz,6,0,4
15.fuzz,0,0,0
16.fuzz,0,0,0
17.fuzz,0,0,0
18.fuzz,0,0,0
19.fuzz,2,0,0
20.fuzz,0,0,0
21.fuzz,6,0,2
22.fuzz,3,0,0
23.fuzz,0,0,0
24.fuzz,0,0,0
25.fuzz,0,0,0
26.fuzz,0,0,0
27.fuzz,0,0,0
28.fuzz,0,0,0
29.fuzz,4,0,3
30.fuzz,0,0,0
31.fuzz,4,0,1
32.fuzz,0,0,0
33.fuzz,0,0,0
34.fuzz,0,0,0
35.fuzz,2,0,0
36.fuzz,22,0,0
37.fuzz,0,0,0
38.fuzz,2,0,0
39.fuzz,0,0,0
40.fuzz,0,0,0
41.fuzz,0,0,0
42.fuzz,1,0,2
43.fuzz,4,0,6
44.fuzz,0,0,0
45.fuzz,0,0,0
46.fuzz,1,0,1
47.fuzz,0,0,0
48.fuzz,15,0,0
49.fuzz,0,0,0
50.fuzz,0,0,0
51.fuzz,11,0,0
52.fuzz,0,0,0
53.fuzz,21,0,1
54.fuzz,0,0,0
55.fuzz,0,0,0
56.fuzz,0,0,0
57.fuzz,0,0,0
58.fuzz,1,0,0
59.fuzz,1,0,0
60.fuzz,0,0,0
61.fuzz,6,0,0
62.fuzz,0,0,0
63.fuzz,0,0,0
64.fuzz,0,0,0
65.fuzz,0,0,0
66.fuzz,2,0,0
67.fuzz,0,0,0
68.fuzz,2,0,0
69.fuzz,1,0,2
70.fuzz,0,0,0
71.fuzz,1,0,0
72.fuzz,0,0,0
73.fuzz,5,0,2
74.fuzz,20,0,0
75.fuzz,0,0,0
76.fuzz,7,0,0
77.fuzz,3,0,0
78.fuzz,0,0,0
79.fuzz,7,0,1
80.fuzz,0,0,0
81.fuzz,11,0,2
82.fuzz,0,0,0
83.fuzz,2,0,2
84.fuzz,0,0,0
85.fuzz,0,0,0
86.fuzz,0,0,0
87.fuzz,4,0,2
88.fuzz,1,0,1
89.fuzz,0,0,0
90.fuzz,9,0,8
91.fuzz,13,0,8
92.fuzz,4,0,0
93.fuzz,14,0,4
94.fuzz,16,1,2
95.fuzz,16,0,4
96.fuzz,17,0,9
97.fuzz,51,0,7
98.fuzz,4,0,0
99.fuzz,9,0,2
Total,358,1,84
