File Name,Syntax Error Count,Fatal Error Count,Warning Count
0.fuzz,51,0,0
1.fuzz,74,0,2
2.fuzz,9,0,0
3.fuzz,47,0,3
4.fuzz,41,0,1
5.fuzz,221,0,1
6.fuzz,30,0,1
7.fuzz,227,0,0
8.fuzz,32,0,0
9.fuzz,27,0,0
10.fuzz,202,0,0
11.fuzz,52,0,1
12.fuzz,194,0,0
13.fuzz,32,0,4
14.fuzz,49,0,0
15.fuzz,441,0,1
16.fuzz,79,0,0
17.fuzz,225,0,0
18.fuzz,464,0,0
19.fuzz,11,0,0
20.fuzz,207,0,0
21.fuzz,198,0,0
22.fuzz,597,0,1
23.fuzz,361,0,0
24.fuzz,46,0,2
25.fuzz,1,1,0
26.fuzz,165,0,0
27.fuzz,10,0,0
28.fuzz,20,0,0
29.fuzz,5,0,0
30.fuzz,210,0,2
31.fuzz,216,0,1
32.fuzz,24,0,1
33.fuzz,214,0,0
34.fuzz,208,0,0
35.fuzz,36,0,0
36.fuzz,55,0,0
37.fuzz,31,0,0
38.fuzz,7,0,0
39.fuzz,204,0,0
40.fuzz,218,0,0
41.fuzz,531,0,0
42.fuzz,159,0,0
43.fuzz,138,0,0
44.fuzz,206,0,0
45.fuzz,12,0,0
46.fuzz,32,0,0
47.fuzz,45,0,1
48.fuzz,229,0,1
49.fuzz,132,0,0
50.fuzz,25,0,0
51.fuzz,4,0,0
52.fuzz,55,0,0
53.fuzz,174,0,0
54.fuzz,234,0,0
55.fuzz,17,0,0
56.fuzz,209,0,0
57.fuzz,216,0,0
58.fuzz,125,0,0
59.fuzz,31,0,0
60.fuzz,145,0,0
61.fuzz,205,0,1
62.fuzz,235,0,0
63.fuzz,44,0,0
64.fuzz,203,0,0
65.fuzz,208,0,0
66.fuzz,11,0,0
67.fuzz,226,0,3
68.fuzz,13,0,0
69.fuzz,204,0,1
70.fuzz,2,0,0
71.fuzz,150,0,1
72.fuzz,4,0,0
73.fuzz,197,0,0
74.fuzz,1,1,0
75.fuzz,204,0,0
76.fuzz,3,1,0
77.fuzz,11,0,0
78.fuzz,235,0,0
79.fuzz,230,0,1
80.fuzz,248,0,0
81.fuzz,58,0,0
82.fuzz,204,0,0
83.fuzz,206,0,0
84.fuzz,214,0,0
85.fuzz,163,0,0
86.fuzz,225,0,0
87.fuzz,28,0,0
88.fuzz,42,0,0
89.fuzz,48,0,0
90.fuzz,471,0,0
91.fuzz,153,0,1
92.fuzz,6,0,0
93.fuzz,18,0,0
94.fuzz,2,0,0
95.fuzz,2,0,0
96.fuzz,33,0,0
97.fuzz,29,0,0
98.fuzz,138,0,0
99.fuzz,212,0,0
Total,13146,3,31
