File Name,Syntax Error Count,Fatal Error Count,Warning Count
0.fuzz,11,0,0
1.fuzz,0,0,0
2.fuzz,39,0,0
3.fuzz,0,0,0
4.fuzz,5,0,0
5.fuzz,6,0,0
6.fuzz,0,0,0
7.fuzz,0,0,0
8.fuzz,1,0,0
9.fuzz,2,0,0
10.fuzz,3,0,0
11.fuzz,0,0,0
12.fuzz,0,0,0
13.fuzz,2,0,0
14.fuzz,9,0,0
15.fuzz,4,0,0
16.fuzz,12,0,0
17.fuzz,6,0,0
18.fuzz,2,0,0
19.fuzz,1,0,0
20.fuzz,14,0,0
21.fuzz,2,0,0
22.fuzz,11,0,1
23.fuzz,0,0,0
24.fuzz,16,0,0
25.fuzz,1,0,0
26.fuzz,2,0,0
27.fuzz,4,0,0
28.fuzz,0,0,0
29.fuzz,0,0,0
30.fuzz,1,0,0
31.fuzz,22,0,0
32.fuzz,0,0,0
33.fuzz,3,0,0
34.fuzz,18,0,0
35.fuzz,18,0,0
36.fuzz,9,0,0
37.fuzz,7,0,0
38.fuzz,10,0,0
39.fuzz,7,0,0
40.fuzz,47,0,0
41.fuzz,4,0,0
42.fuzz,13,0,0
43.fuzz,12,0,0
44.fuzz,17,0,0
45.fuzz,13,0,1
46.fuzz,26,0,0
47.fuzz,10,0,0
48.fuzz,21,0,0
49.fuzz,19,0,0
50.fuzz,37,0,4
51.fuzz,36,0,2
52.fuzz,19,0,0
53.fuzz,9,0,0
54.fuzz,6,0,0
55.fuzz,4,0,0
56.fuzz,24,0,0
57.fuzz,374,0,0
58.fuzz,7,0,0
59.fuzz,14,0,1
60.fuzz,11,0,0
61.fuzz,18,0,0
62.fuzz,10,0,0
63.fuzz,25,0,0
64.fuzz,13,0,1
65.fuzz,26,0,0
66.fuzz,10,0,0
67.fuzz,19,0,0
68.fuzz,21,0,0
69.fuzz,4,0,0
70.fuzz,6,0,0
71.fuzz,201,0,0
72.fuzz,10,0,0
73.fuzz,6,0,0
74.fuzz,5,0,0
75.fuzz,8,0,0
76.fuzz,10,0,0
77.fuzz,11,0,0
78.fuzz,19,0,0
79.fuzz,19,0,0
80.fuzz,23,0,0
81.fuzz,33,0,0
82.fuzz,16,0,0
83.fuzz,17,0,2
84.fuzz,18,0,0
85.fuzz,4,0,0
86.fuzz,69,0,0
87.fuzz,18,0,0
88.fuzz,17,0,1
89.fuzz,34,0,4
90.fuzz,10,0,0
91.fuzz,18,0,0
92.fuzz,12,0,0
93.fuzz,224,0,0
94.fuzz,6,0,0
95.fuzz,17,0,0
96.fuzz,15,0,0
97.fuzz,12,0,0
98.fuzz,3,0,0
99.fuzz,33,0,0
Total,2011,0,17
