GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,default,SynchronizationExample,8,42,0,0,3,13,1,1,1,1
JaCoCo Coverage Report,default,SampleThread,8,14,0,0,4,6,2,3,2,3
JaCoCo Coverage Report,default,SampleData,34,0,0,0,4,0,3,0,3,0
JaCoCo Coverage Report,default,Sample,3,6,0,0,1,2,1,1,1,1
JaCoCo Coverage Report,default,MultiThreadedDataSync,38,0,0,0,4,0,3,0,3,0
JaCoCo Coverage Report,default,SynchTest2,3,7,0,0,1,3,1,1,1,1
JaCoCo Coverage Report,default,SynchTest4,3,15,0,0,1,6,1,1,1,1
JaCoCo Coverage Report,default,SynchronizedBlock.new Runnable() {...},0,12,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,default,DataContainer,13,0,0,0,3,0,3,0,3,0
JaCoCo Coverage Report,default,SynchronizedBlock,9,39,0,0,4,14,0,3,0,3
JaCoCo Coverage Report,default,SampleDataSync,34,0,0,0,4,0,3,0,3,0
JaCoCo Coverage Report,default,SynchTest4.new Object() {...},6,3,0,0,2,1,1,1,1,1
JaCoCo Coverage Report,default,MultiThreadedData,0,14,0,0,0,5,0,3,0,3
